epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9093,0.3505,1.66578,1.08345,0.6308,0.30122,0.36106,0.19794,2.25983,2.83617,2.07817,0.000467977,0.000467977,0.000467977
2,46.9911,0.18268,0.71757,0.94661,0.82413,0.62091,0.57468,0.57323,0.22064,2.37154,0.31484,0.000925613,0.000925613,0.000925613
3,69.0613,0.17391,0.60204,0.93085,0.8735,0.65902,0.68427,0.62698,0.39011,1.60624,0.53241,0.00136439,0.00136439,0.00136439
4,90.9188,0.17922,0.54437,0.93801,0.85503,0.66667,0.53821,0.48363,0.57036,1.63986,0.66562,0.00134412,0.00134412,0.00134412
5,112.75,0.15763,0.48764,0.93182,0.76276,0.61144,0.62224,0.61479,0.27268,1.74956,0.40706,0.00131582,0.00131582,0.00131582
6,134.704,0.15098,0.40678,0.9164,0.78855,0.65034,0.57563,0.57554,0.22538,2.54362,0.32965,0.00128753,0.00128753,0.00128753
7,157.333,0.14792,0.38304,0.91213,0.8998,0.65552,0.65278,0.64906,0.22896,1.39684,0.31132,0.00125923,0.00125923,0.00125923
8,179.324,0.13978,0.323,0.91543,0.88101,0.66363,0.69821,0.64673,0.27782,1.62267,0.35291,0.00123094,0.00123094,0.00123094
9,201.074,0.12468,0.30115,0.90401,0.85105,0.65737,0.62599,0.61563,0.25827,2.11978,0.34362,0.00120265,0.00120265,0.00120265
10,222.814,0.11718,0.28046,0.90405,0.94079,0.66667,0.67017,0.66529,0.25475,1.49452,0.37835,0.00117435,0.00117435,0.00117435
11,244.494,0.11175,0.26047,0.89891,0.85599,0.66667,0.63888,0.63888,0.18959,1.86481,0.2894,0.00114606,0.00114606,0.00114606
12,266.297,0.11324,0.25314,0.90483,0.91151,0.66667,0.89513,0.70841,0.18504,1.57931,0.27589,0.00111776,0.00111776,0.00111776
13,288.399,0.10812,0.23197,0.89885,0.85576,0.66667,0.59131,0.59029,0.23762,1.82759,0.3393,0.00108947,0.00108947,0.00108947
14,310.202,0.10398,0.22156,0.90172,0.86742,0.66667,0.63983,0.63773,0.25823,1.59671,0.33448,0.00106118,0.00106118,0.00106118
15,331.847,0.09606,0.20468,0.89393,0.93603,0.66667,0.66285,0.66285,0.24318,1.46248,0.36856,0.00103288,0.00103288,0.00103288
16,353.383,0.09609,0.20479,0.89969,0.90336,0.66667,0.65365,0.64336,0.23003,1.52288,0.3068,0.00100459,0.00100459,0.00100459
17,375.552,0.09552,0.18967,0.897,0.85581,0.66667,0.52013,0.51636,0.23396,1.93823,0.31322,0.000976293,0.000976293,0.000976293
18,397.74,0.09138,0.18276,0.90009,0.85911,0.66667,0.60832,0.60832,0.19419,1.6744,0.28273,0.000947999,0.000947999,0.000947999
19,419.477,0.08182,0.17049,0.89656,0.87832,0.66667,0.83719,0.78982,0.22627,1.72851,0.30429,0.000919704,0.000919704,0.000919704
20,441.224,0.08209,0.17233,0.90183,0.52261,0.66667,0.60423,0.60423,0.21604,1.82987,0.29231,0.00089141,0.00089141,0.00089141
21,462.873,0.07969,0.17001,0.89498,0.85842,0.65248,0.69965,0.69737,0.18687,1.80591,0.26287,0.000863116,0.000863116,0.000863116
22,484.613,0.07638,0.16524,0.88968,0.52448,0.66667,0.56515,0.56515,0.23756,1.90711,0.3249,0.000834822,0.000834822,0.000834822
23,506.303,0.07408,0.14847,0.89185,0.85595,0.66667,0.52078,0.52078,0.22557,1.98166,0.32431,0.000806528,0.000806528,0.000806528
24,528.016,0.07558,0.1524,0.90184,0.5247,0.66667,0.61559,0.58742,0.36103,1.80805,0.55996,0.000778233,0.000778233,0.000778233
25,549.839,0.07118,0.14654,0.89011,0.88027,0.65856,0.74656,0.72983,0.21555,1.68708,0.30417,0.000749939,0.000749939,0.000749939
26,571.527,0.06873,0.13577,0.89311,0.93529,0.66261,0.82128,0.82128,0.20066,1.44527,0.27423,0.000721645,0.000721645,0.000721645
27,593.072,0.0727,0.14707,0.88808,0.52904,0.66667,0.62417,0.62417,0.25534,1.88198,0.36686,0.000693351,0.000693351,0.000693351
28,614.588,0.06793,0.13619,0.89221,0.89061,0.66667,0.80195,0.80195,0.20287,1.63569,0.27456,0.000665057,0.000665057,0.000665057
29,636.159,0.06746,0.13618,0.88493,0.54713,0.66667,0.62685,0.62685,0.22714,1.94006,0.29646,0.000636762,0.000636762,0.000636762
