epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1444,1.15082,4.57634,1.54659,0,0,0,0,0.88628,3.85907,1.49841,2.664e-05,2.664e-05,2.664e-05
2,10.0181,0.9129,4.46803,1.37423,0,0,0,0,0.5612,3.84177,1.19263,5.54891e-05,5.54891e-05,5.54891e-05
3,15.6823,0.7307,4.32257,1.24651,0,0,0,0,0.49639,3.82679,1.10603,8.31514e-05,8.31514e-05,8.31514e-05
4,21.6252,0.69646,4.23597,1.22089,0,0,0,0,0.46145,3.79904,1.05484,0.000109627,0.000109627,0.000109627
5,26.9276,0.6487,4.06163,1.17403,0.05971,0.26067,0.07681,0.07032,0.47134,3.6982,1.05348,0.000134916,0.000134916,0.000134916
6,32.5865,0.66057,3.92508,1.19479,0.02573,0.45266,0.10416,0.0938,0.48264,3.54853,1.05634,0.000159017,0.000159017,0.000159017
