epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.82805,1.18273,4.49024,1.57654,0,0,0,0,0.92102,3.84956,1.50455,2.664e-05,2.664e-05,2.664e-05
2,11.3248,0.91936,4.40561,1.37665,0,0,0,0,0.55882,3.84142,1.18554,5.54891e-05,5.54891e-05,5.54891e-05
3,16.7391,0.75418,4.26389,1.25957,0,0,0,0,0.47692,3.82412,1.10015,8.31514e-05,8.31514e-05,8.31514e-05
4,22.105,0.6927,4.19657,1.21999,0,0,0,0,0.48932,3.80015,1.07464,0.000109627,0.000109627,0.000109627
5,27.771,0.65549,4.05794,1.17026,0.02075,0.07286,0.03844,0.02523,0.4722,3.72964,1.05609,0.000134916,0.000134916,0.000134916
6,33.5392,0.66791,3.91313,1.16949,0.03883,0.48678,0.0742,0.06293,0.46317,3.61453,1.03961,0.000159017,0.000159017,0.000159017
7,39.3183,0.63109,3.83868,1.13399,0.03428,0.64989,0.09516,0.08316,0.51186,3.49691,1.0714,0.000181933,0.000181933,0.000181933
8,45.217,0.66685,3.85424,1.16411,0.03143,0.73864,0.12221,0.10934,0.47594,3.37667,1.07007,0.000203661,0.000203661,0.000203661
9,51.0073,0.68093,3.64292,1.14431,0.05148,0.78365,0.16638,0.14044,0.48716,3.26617,1.07807,0.000224202,0.000224202,0.000224202
10,56.7323,0.64704,3.60387,1.18072,0.04565,0.78457,0.16834,0.14856,0.45904,3.22802,1.05402,0.000243557,0.000243557,0.000243557
11,62.5256,0.64915,3.55659,1.14253,0.03841,0.79327,0.1686,0.14965,0.46537,3.16924,1.06924,0.000261725,0.000261725,0.000261725
12,68.3074,0.6821,3.47801,1.18806,0.66343,0.14751,0.1954,0.17291,0.48996,3.03931,1.08188,0.000260473,0.000260473,0.000260473
13,74.0844,0.6461,3.27486,1.15771,0.68392,0.18751,0.21668,0.19008,0.50685,2.9964,1.08034,0.000253879,0.000253879,0.000253879
14,79.7798,0.63493,3.21387,1.1167,0.59368,0.21207,0.21894,0.1889,0.49341,2.96101,1.05405,0.000247286,0.000247286,0.000247286
15,85.5222,0.62217,3.15373,1.13532,0.53991,0.23024,0.22718,0.19919,0.48498,2.89044,1.05425,0.000240692,0.000240692,0.000240692
16,91.2643,0.65085,3.11913,1.18657,0.55041,0.22711,0.22375,0.19803,0.48145,2.87912,1.06652,0.000234099,0.000234099,0.000234099
17,97.0779,0.70796,3.02109,1.19082,0.44189,0.28762,0.22348,0.20556,0.51562,2.86062,1.08933,0.000227506,0.000227506,0.000227506
18,102.864,0.68377,2.96008,1.19741,0.44248,0.31617,0.22367,0.20564,0.53104,2.86856,1.11832,0.000220912,0.000220912,0.000220912
19,108.687,0.59571,2.73979,1.10831,0.37104,0.31274,0.24482,0.21866,0.51359,2.82034,1.10101,0.000214319,0.000214319,0.000214319
20,114.532,0.62155,2.74404,1.15691,0.34643,0.35199,0.30656,0.27066,0.47356,2.66112,1.05838,0.000207725,0.000207725,0.000207725
21,120.353,0.63256,2.63155,1.13775,0.36025,0.40383,0.33987,0.30667,0.46027,2.60414,1.04914,0.000201132,0.000201132,0.000201132
22,126.134,0.61658,2.66495,1.14841,0.49702,0.33223,0.34877,0.32072,0.45776,2.59468,1.0532,0.000194539,0.000194539,0.000194539
23,131.887,0.60825,2.51759,1.12608,0.45197,0.36896,0.37084,0.34283,0.4453,2.57151,1.05169,0.000187945,0.000187945,0.000187945
24,137.637,0.56665,2.31928,1.11889,0.47992,0.36672,0.38075,0.35104,0.4633,2.47606,1.07041,0.000181352,0.000181352,0.000181352
25,143.795,0.58441,2.36583,1.14532,0.41093,0.41682,0.35649,0.32601,0.48675,2.44016,1.10149,0.000174758,0.000174758,0.000174758
