epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.52773,1.15082,4.57634,1.54659,0,0,0,0,0.88628,3.85907,1.49841,2.664e-05,2.664e-05,2.664e-05
2,12.3783,0.9129,4.46803,1.37423,0,0,0,0,0.5612,3.84177,1.19263,5.54891e-05,5.54891e-05,5.54891e-05
3,18.3006,0.7307,4.32257,1.24651,0,0,0,0,0.49639,3.82679,1.10603,8.31514e-05,8.31514e-05,8.31514e-05
4,24.1477,0.69646,4.23597,1.22089,0,0,0,0,0.46145,3.79904,1.05484,0.000109627,0.000109627,0.000109627
5,30.4039,0.6487,4.06163,1.17403,0.05971,0.26067,0.07681,0.07032,0.47134,3.6982,1.05348,0.000134916,0.000134916,0.000134916
6,36.714,0.66057,3.92508,1.19479,0.02573,0.45266,0.10416,0.0938,0.48264,3.54853,1.05634,0.000159017,0.000159017,0.000159017
7,42.8654,0.66134,3.71635,1.16969,0.03108,0.60264,0.12192,0.10882,0.52447,3.40562,1.09441,0.000181933,0.000181933,0.000181933
8,49.0339,0.70147,3.69677,1.22677,0.73544,0.12576,0.18914,0.16557,0.57859,3.20827,1.14588,0.000203661,0.000203661,0.000203661
9,55.3285,0.67459,3.44614,1.18888,0.71604,0.13346,0.19554,0.16289,0.53253,3.0803,1.10782,0.000224202,0.000224202,0.000224202
10,61.5339,0.68286,3.31731,1.22424,0.63651,0.22805,0.20138,0.16497,0.59699,3.06951,1.16288,0.000243557,0.000243557,0.000243557
11,67.8161,0.64315,3.21695,1.15949,0.5347,0.28973,0.21965,0.18072,0.57792,3.03879,1.13339,0.000261725,0.000261725,0.000261725
12,74.0715,0.6549,3.18384,1.1886,0.60683,0.19119,0.2579,0.21519,0.5596,2.89535,1.13393,0.000260473,0.000260473,0.000260473
13,80.3775,0.6321,2.80305,1.17807,0.62965,0.22348,0.29494,0.24956,0.56614,2.88703,1.13607,0.000253879,0.000253879,0.000253879
14,86.7794,0.64678,2.783,1.15408,0.58824,0.2472,0.31885,0.27148,0.55809,2.86255,1.12979,0.000247286,0.000247286,0.000247286
15,93.1241,0.64679,2.72316,1.17231,0.46996,0.33372,0.32167,0.27243,0.55629,2.71301,1.12405,0.000240692,0.000240692,0.000240692
16,99.4658,0.65789,2.73703,1.18694,0.44762,0.31608,0.34722,0.29432,0.55311,2.68059,1.13271,0.000234099,0.000234099,0.000234099
17,105.662,0.69368,2.54508,1.21817,0.44713,0.30226,0.34218,0.28881,0.59101,2.70515,1.16252,0.000227506,0.000227506,0.000227506
18,111.818,0.68807,2.58174,1.21636,0.46452,0.31465,0.34499,0.29037,0.60196,2.72011,1.16282,0.000220912,0.000220912,0.000220912
19,117.98,0.5981,2.45342,1.12749,0.39398,0.3611,0.35667,0.30285,0.57376,2.58883,1.12306,0.000214319,0.000214319,0.000214319
20,124.195,0.64227,2.43295,1.19553,0.31657,0.40874,0.37569,0.33018,0.53731,2.38489,1.10537,0.000207725,0.000207725,0.000207725
21,130.421,0.61881,2.23431,1.1419,0.33962,0.43407,0.39785,0.35355,0.54023,2.4119,1.1096,0.000201132,0.000201132,0.000201132
22,136.66,0.61144,2.2784,1.16855,0.3948,0.38136,0.39456,0.3519,0.54876,2.39497,1.11741,0.000194539,0.000194539,0.000194539
23,142.814,0.57358,2.11078,1.12002,0.58325,0.33769,0.41984,0.37173,0.53775,2.36036,1.10357,0.000187945,0.000187945,0.000187945
