epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.573,0.31735,1.94155,1.05307,0.39473,0.73582,0.56568,0.52215,0.38713,2.18524,0.5408,0.000471211,0.000471211,0.000471211
2,62.2499,0.18159,1.05073,0.94334,0.80236,0.93994,0.98235,0.98235,0.19142,0.94531,0.27511,0.000928783,0.000928783,0.000928783
3,92.7441,0.17942,0.83797,0.93478,0.73722,0.90581,0.90867,0.90837,0.19637,0.79572,0.26136,0.00136749,0.00136749,0.00136749
4,123.178,0.15794,0.77668,0.92282,0.80751,0.92015,0.92425,0.87606,0.38916,0.93006,0.46072,0.00134412,0.00134412,0.00134412
5,153.545,0.14731,0.67873,0.92037,0.79154,0.82619,0.94924,0.94924,0.15839,1.13653,0.2114,0.00131582,0.00131582,0.00131582
6,183.649,0.13713,0.62575,0.91468,0.83326,0.88085,0.97856,0.97851,0.14148,0.65838,0.2474,0.00128753,0.00128753,0.00128753
7,213.818,0.13613,0.59113,0.91767,0.76129,0.88787,0.97608,0.96578,0.28629,0.84133,0.36463,0.00125923,0.00125923,0.00125923
8,244.024,0.12379,0.56577,0.90609,0.67449,0.85549,0.93201,0.93201,0.1656,1.34312,0.24312,0.00123094,0.00123094,0.00123094
9,274.182,0.11614,0.51351,0.90736,0.97969,0.97687,0.9946,0.99034,0.29732,0.46216,0.38428,0.00120265,0.00120265,0.00120265
10,304.553,0.10852,0.50375,0.90312,0.86714,0.86248,0.95858,0.9478,0.23896,0.81772,0.33244,0.00117435,0.00117435,0.00117435
11,334.691,0.10949,0.50181,0.90281,0.99704,0.9989,0.995,0.995,0.17054,0.30928,0.25169,0.00114606,0.00114606,0.00114606
12,365.033,0.09819,0.46265,0.90782,0.94539,0.95058,0.995,0.99406,0.22449,0.48713,0.29961,0.00111776,0.00111776,0.00111776
13,395.289,0.09848,0.44702,0.89957,0.9942,0.99562,0.99494,0.99447,0.17688,0.34909,0.25776,0.00108947,0.00108947,0.00108947
14,425.31,0.09825,0.44064,0.89642,0.72436,0.91852,0.9602,0.9602,0.16315,1.02151,0.23018,0.00106118,0.00106118,0.00106118
15,455.601,0.09623,0.43273,0.90134,0.9111,0.92087,0.98892,0.98892,0.20341,0.51729,0.28184,0.00103288,0.00103288,0.00103288
16,485.852,0.09321,0.42338,0.89664,0.95264,0.97764,0.995,0.99493,0.19305,0.32419,0.25199,0.00100459,0.00100459,0.00100459
17,515.938,0.09358,0.40093,0.89967,0.96197,0.95571,0.99334,0.99334,0.19613,0.41178,0.27937,0.000976293,0.000976293,0.000976293
18,546.175,0.08627,0.37466,0.89629,0.98762,0.99377,0.995,0.995,0.19301,0.30653,0.26389,0.000947999,0.000947999,0.000947999
19,576.454,0.0884,0.38442,0.89879,0.97516,0.98591,0.99427,0.9936,0.17781,0.32202,0.25184,0.000919704,0.000919704,0.000919704
20,606.859,0.08458,0.397,0.8927,0.98197,0.96549,0.99498,0.99498,0.20664,0.27973,0.28084,0.00089141,0.00089141,0.00089141
21,637.199,0.08484,0.37749,0.89195,0.98967,0.99363,0.995,0.995,0.17589,0.32886,0.23968,0.000863116,0.000863116,0.000863116
22,667.343,0.08582,0.38356,0.90124,0.96706,0.9668,0.99498,0.99244,0.26181,0.38867,0.36162,0.000834822,0.000834822,0.000834822
23,697.63,0.07392,0.36135,0.89427,0.93273,0.92682,0.99016,0.99016,0.16297,0.41709,0.22671,0.000806528,0.000806528,0.000806528
24,727.865,0.07496,0.35527,0.89234,0.90884,0.95085,0.99493,0.99427,0.22221,0.44565,0.30544,0.000778233,0.000778233,0.000778233
25,757.789,0.07297,0.34555,0.88849,0.99895,0.99608,0.995,0.995,0.18498,0.36085,0.2589,0.000749939,0.000749939,0.000749939
26,787.801,0.07057,0.33118,0.8865,0.96808,0.99254,0.995,0.9934,0.17502,0.34941,0.2507,0.000721645,0.000721645,0.000721645
27,818.666,0.06766,0.35449,0.89071,0.95089,0.8983,0.98123,0.98123,0.24602,0.54294,0.33533,0.000693351,0.000693351,0.000693351
28,849.173,0.06727,0.3356,0.89586,0.93676,0.96759,0.995,0.995,0.13092,0.35852,0.17669,0.000665057,0.000665057,0.000665057
29,879.448,0.06229,0.32087,0.88894,0.98593,0.97667,0.99376,0.99361,0.233,0.32868,0.30152,0.000636762,0.000636762,0.000636762
30,909.584,0.06494,0.34165,0.8936,0.9537,0.95104,0.99395,0.97191,0.20459,0.47385,0.253,0.000608468,0.000608468,0.000608468
31,939.663,0.06184,0.33131,0.89841,0.98775,0.98495,0.99384,0.99384,0.16448,0.36406,0.23506,0.000580174,0.000580174,0.000580174
32,969.779,0.0597,0.32316,0.8912,0.99138,0.99787,0.995,0.995,0.14476,0.27027,0.20756,0.00055188,0.00055188,0.00055188
33,999.998,0.06416,0.32784,0.89214,0.98363,0.97362,0.99491,0.99491,0.13433,0.2437,0.19684,0.000523586,0.000523586,0.000523586
34,1030.1,0.05635,0.29841,0.89244,0.9944,0.9989,0.99492,0.9913,0.17415,0.21857,0.24832,0.000495291,0.000495291,0.000495291
35,1060.16,0.05486,0.32303,0.88675,0.9928,1,0.99494,0.99494,0.13111,0.21871,0.16623,0.000466997,0.000466997,0.000466997
36,1090.49,0.0548,0.30751,0.88787,0.99441,0.99846,0.995,0.995,0.19201,0.32521,0.27115,0.000438703,0.000438703,0.000438703
37,1120.86,0.05126,0.28404,0.89294,0.97557,0.98935,0.99492,0.99492,0.18302,0.33531,0.25379,0.000410409,0.000410409,0.000410409
38,1151.13,0.04839,0.28604,0.89037,0.94459,0.95131,0.99479,0.99479,0.19725,0.44302,0.27834,0.000382115,0.000382115,0.000382115
39,1181.39,0.04758,0.29072,0.89101,0.9914,0.99253,0.99489,0.99489,0.19442,0.30304,0.29135,0.00035382,0.00035382,0.00035382
40,1211.64,0.04619,0.28538,0.89342,0.99762,0.992,0.995,0.995,0.13711,0.25411,0.19055,0.000325526,0.000325526,0.000325526
41,1240.26,0.04519,0.15735,0.90416,0.97501,0.97096,0.99438,0.99438,0.19527,0.40037,0.27914,0.000297232,0.000297232,0.000297232
42,1268.69,0.03857,0.07181,0.90307,0.99133,0.99874,0.995,0.995,0.15792,0.25721,0.21975,0.000268938,0.000268938,0.000268938
43,1297.11,0.03334,0.05766,0.89986,0.99173,0.98762,0.995,0.995,0.15019,0.29569,0.21243,0.000240644,0.000240644,0.000240644
44,1325.76,0.02916,0.05105,0.90557,0.99412,1,0.995,0.995,0.14912,0.30331,0.21221,0.000212349,0.000212349,0.000212349
45,1354.38,0.0262,0.04699,0.89875,0.98678,0.99384,0.995,0.995,0.1507,0.25474,0.19901,0.000184055,0.000184055,0.000184055
46,1382.97,0.02668,0.04686,0.89531,0.99408,1,0.995,0.995,0.15177,0.22771,0.20869,0.000155761,0.000155761,0.000155761
47,1411.55,0.02401,0.04351,0.89655,0.99886,1,0.995,0.995,0.13768,0.24915,0.18916,0.000127467,0.000127467,0.000127467
48,1440.21,0.02141,0.03998,0.90206,0.99141,1,0.995,0.995,0.19953,0.32497,0.27788,9.91726e-05,9.91726e-05,9.91726e-05
49,1468.73,0.01934,0.03627,0.90106,0.99421,1,0.995,0.995,0.16895,0.31741,0.23053,7.08784e-05,7.08784e-05,7.08784e-05
50,1497.29,0.01853,0.03526,0.89671,0.9944,1,0.995,0.995,0.20016,0.33409,0.27432,4.25842e-05,4.25842e-05,4.25842e-05
