epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.41073,1.15082,4.57634,1.54659,0,0,0,0,0.88628,3.85907,1.49841,2.664e-05,2.664e-05,2.664e-05
2,11.7688,0.9129,4.46803,1.37423,0,0,0,0,0.5612,3.84177,1.19263,5.54891e-05,5.54891e-05,5.54891e-05
3,17.6787,0.7307,4.32257,1.24651,0,0,0,0,0.49639,3.82679,1.10603,8.31514e-05,8.31514e-05,8.31514e-05
4,23.6938,0.69646,4.23597,1.22089,0,0,0,0,0.46145,3.79904,1.05484,0.000109627,0.000109627,0.000109627
5,29.9962,0.6487,4.06163,1.17403,0.05971,0.26067,0.07681,0.07032,0.47134,3.6982,1.05348,0.000134916,0.000134916,0.000134916
6,36.3551,0.66057,3.92508,1.19479,0.02573,0.45266,0.10416,0.0938,0.48264,3.54853,1.05634,0.000159017,0.000159017,0.000159017
7,42.6214,0.66134,3.71635,1.16969,0.03108,0.60264,0.12192,0.10882,0.52447,3.40562,1.09441,0.000181933,0.000181933,0.000181933
8,49.0339,0.70147,3.69677,1.22677,0.73544,0.12576,0.18914,0.16557,0.57859,3.20827,1.14588,0.000203661,0.000203661,0.000203661
9,55.6373,0.67459,3.44614,1.18888,0.71604,0.13346,0.19554,0.16289,0.53253,3.0803,1.10782,0.000224202,0.000224202,0.000224202
10,61.276,0.68286,3.31731,1.22424,0.63651,0.22805,0.20138,0.16497,0.59699,3.06951,1.16288,0.000243557,0.000243557,0.000243557
11,66.6773,0.64315,3.21695,1.15949,0.5347,0.28973,0.21965,0.18072,0.57792,3.03879,1.13339,0.000261725,0.000261725,0.000261725
12,72.2888,0.6549,3.18384,1.1886,0.60683,0.19119,0.2579,0.21519,0.5596,2.89535,1.13393,0.000260473,0.000260473,0.000260473
13,77.7676,0.6321,2.80305,1.17807,0.62965,0.22348,0.29494,0.24956,0.56614,2.88703,1.13607,0.000253879,0.000253879,0.000253879
14,83.2781,0.64678,2.783,1.15408,0.58824,0.2472,0.31885,0.27148,0.55809,2.86255,1.12979,0.000247286,0.000247286,0.000247286
15,88.6936,0.64679,2.72316,1.17231,0.46996,0.33372,0.32167,0.27243,0.55629,2.71301,1.12405,0.000240692,0.000240692,0.000240692
16,94.2412,0.65789,2.73703,1.18694,0.44762,0.31608,0.34722,0.29432,0.55311,2.68059,1.13271,0.000234099,0.000234099,0.000234099
